"","(Intercept)","brlen.median","brlen.ratio","brlen.var","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","turnover","df","logLik","AICc","delta","weight"
"114",4.98645675625088,0.00799873692563916,NA,NA,NA,-0.000362670628353422,0.000378181708718868,0.000201980477986609,NA,NA,NA,NA,NA,NA,6,-14676.1702012095,29364.3488083031,6642.74923599484,0
"339",5.1454141178231,NA,3.67913358324306e-09,NA,NA,1.77808788732236e-05,NA,0.000169833729860864,NA,-0.448800448576421,NA,NA,NA,NA,6,-14682.1940405626,29376.3964870094,6654.79691470114,0
"353",5.14201675985803,NA,NA,NA,NA,NA,1.80573868609004e-05,0.000181921832400212,NA,-0.456926833678317,NA,NA,NA,NA,5,-14684.9533290461,29379.9126616943,6658.31308938607,0
"337",5.14337852618345,NA,NA,NA,NA,1.79715136124123e-05,NA,0.000179291654023151,NA,-0.456029010780259,NA,NA,NA,NA,5,-14692.260314422,29394.5266324462,6672.92706013796,0
"419",5.24363849461016,NA,8.65312916692978e-09,NA,NA,NA,2.09984149898381e-05,NA,-2.01937330351432,0.376358842595972,NA,NA,NA,NA,6,-14693.2082790561,29398.4249639963,6676.82539168799,0
"403",5.24344279228745,NA,8.37743697683324e-09,NA,NA,2.10157112531528e-05,NA,NA,-2.0213104013883,0.376244082046749,NA,NA,NA,NA,6,-14693.2562056396,29398.5208171634,6676.92124485514,0
"4273",5.45786998363171,NA,NA,NA,NA,0.000143042227126862,-0.000120955219870201,NA,-1.26781761982006,NA,NA,NA,NA,-0.0196766127777345,6,-14698.9810580936,29409.9705220713,6688.37094976302,0
"330",5.52755509130088,0.0136444296530313,NA,NA,-7.26411159930239,NA,NA,0.000140883920193241,NA,-0.832981240744178,NA,NA,NA,NA,6,-14699.013528867,29410.035463618,6688.43589130977,0
"100",4.97631971075319,0.0110549548437082,5.81208148131505e-09,NA,NA,NA,1.58774606469549e-05,0.000114216888028749,NA,NA,NA,NA,NA,NA,6,-14703.409955044,29418.8283159721,6697.22874366384,0
"4241",5.45908252750098,NA,NA,NA,NA,2.21742846560042e-05,NA,NA,-1.25938956194936,NA,NA,NA,NA,-0.019613981894392,5,-14709.0514511652,29428.1089059326,6706.50933362431,0
"331",5.99730392060634,NA,6.85806398287698e-09,NA,-12.2402485698107,NA,NA,0.000141197073764382,NA,-0.725619770916457,NA,NA,NA,NA,6,-14708.261864785,29428.5321354541,6706.9325631458,0
"84",4.97601749363122,0.0111864415579953,5.70110424848687e-09,NA,NA,1.57825492008687e-05,NA,0.000111737729066521,NA,NA,NA,NA,NA,NA,6,-14709.1289256268,29430.2662571378,6708.66668482952,0
"4102",5.39946030202863,0.0347291174634399,NA,6.99193642684543e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0565648456517289,5,-14712.6412963956,29435.2885963934,6713.68902408517,0
"4257",5.45954996163528,NA,NA,NA,NA,NA,2.212593798662e-05,NA,-1.25771735502295,NA,NA,NA,NA,-0.0195972806797838,5,-14713.0733829717,29436.1527695455,6714.55319723724,0
"113",5.07315891131492,NA,NA,NA,NA,-0.000441425015616051,0.000458075857500958,0.000244540382138216,NA,NA,NA,NA,NA,NA,5,-14716.0794846066,29442.1649728153,6720.56540050709,0
"333",5.96753010252108,NA,NA,6.78839947343934e-09,-11.8586088405697,NA,NA,0.000157834246796706,NA,-0.73000519783747,NA,NA,NA,NA,6,-14715.5743217578,29443.1570493997,6721.55747709148,0
"324",4.91972353459908,0.0267895631035072,7.6943671422989e-09,NA,NA,NA,NA,0.000117414704845616,NA,-0.851693468259486,NA,NA,NA,NA,6,-14716.046673555,29444.1017529941,6722.50218068582,0
"163",5.25220565523391,NA,8.64007253954779e-09,NA,NA,NA,2.1060790835781e-05,NA,-1.4388800189067,NA,NA,NA,NA,NA,5,-14726.849108957,29463.7042215161,6742.10464920785,0
"147",5.25200527800791,NA,8.36349945088853e-09,NA,NA,2.10784494008061e-05,NA,NA,-1.44100145011629,NA,NA,NA,NA,NA,5,-14726.876209276,29463.7584221541,6742.15884984589,0
"179",5.25210811782364,NA,8.51681933245524e-09,NA,NA,9.36623683710111e-06,1.17043064692962e-05,NA,-1.439828553289,NA,NA,NA,NA,NA,6,-14726.8010798694,29465.6105656229,6744.0109933146,0
"98",4.98112638719726,0.0102598949211344,NA,NA,NA,NA,1.62904995951949e-05,0.000131871083169948,NA,NA,NA,NA,NA,NA,5,-14728.0621352467,29466.1302740956,6744.53070178739,0
"44",5.60333712021596,0.00313850735752757,8.98072690578454e-09,NA,-7.73702953779089,NA,1.65143040657439e-05,NA,NA,NA,NA,NA,NA,NA,6,-14727.1006492618,29466.2097044077,6744.61013209944,0
"59",5.72430450072646,NA,9.85160052734795e-09,NA,-9.02745196116476,-6.94389322097891e-05,8.61055169593054e-05,NA,NA,NA,NA,NA,NA,NA,6,-14727.1458920472,29466.3001899785,6744.70061767021,0
"28",5.60366040737071,0.00311520183967896,8.76999786073690e-09,NA,-7.73920257805027,1.65032327042247e-05,NA,NA,NA,NA,NA,NA,NA,NA,6,-14728.5675102631,29469.1434264104,6747.54385410212,0
"43",5.71972750303791,NA,8.94091811253714e-09,NA,-8.97083140297599,NA,1.67617131160417e-05,NA,NA,NA,NA,NA,NA,NA,5,-14729.7807130877,29469.5674297776,6747.9678574693,0
"27",5.71915019457955,NA,8.72702265052411e-09,NA,-8.96340419946974,1.67504439167466e-05,NA,NA,NA,NA,NA,NA,NA,NA,5,-14731.2062397619,29472.418483126,6750.81891081778,0
"82",4.98075599146407,0.0104003329404916,NA,NA,NA,1.62138914453636e-05,NA,0.000128928070401752,NA,NA,NA,NA,NA,NA,5,-14732.7955485515,29475.5971007053,6753.997528397,0
"326",4.92807286314656,0.0255013058366402,NA,6.44035921909081e-09,NA,NA,NA,0.000138968697155692,NA,-0.846876092833438,NA,NA,NA,NA,6,-14734.8843194645,29481.777044813,6760.17747250477,0
"4098",5.40033352730959,0.0353803722692336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0570479067664,4,-14741.7862580865,29491.576518174,6769.97694586575,0
"433",5.24588405868748,NA,NA,NA,NA,0.000139463455484595,-0.000117636171284542,NA,-2.04402873447089,0.374766336135719,NA,NA,NA,NA,6,-14739.8278390847,29491.6640840534,6770.06451174517,0
"329",5.98089144650942,NA,NA,NA,-12.0304198835377,NA,NA,0.000161389503427283,NA,-0.73435858342036,NA,NA,NA,NA,5,-14743.0260603813,29496.0581243648,6774.45855205658,0
"401",5.24768351339847,NA,NA,NA,NA,2.19127189287726e-05,NA,NA,-2.03588467384771,0.375198714031467,NA,NA,NA,NA,5,-14749.2768969757,29508.5597975536,6786.96022524539,0
"417",5.24830888654368,NA,NA,NA,NA,NA,2.18659328762232e-05,NA,-2.03429355276059,0.375344871295724,NA,NA,NA,NA,5,-14753.1169711782,29516.2399459586,6794.64037365035,0
"268",5.49615107677278,0.0204616664898858,1.10720199783606e-08,NA,-7.15081902849972,NA,NA,NA,NA,-0.869575703870064,NA,NA,NA,NA,6,-14755.2803747773,29522.5691554387,6800.96958313047,0
"322",4.92532932051078,0.0259599236021244,NA,NA,NA,NA,NA,0.000141670659257413,NA,-0.854257233399742,NA,NA,NA,NA,5,-14759.4582381993,29528.9224800009,6807.3229076926,0
"177",5.25439860775267,NA,NA,NA,NA,0.000139999932356624,-0.00011811198848028,NA,-1.46600783435418,NA,NA,NA,NA,NA,5,-14772.8769050433,29555.7598136889,6834.1602413806,0
"145",5.25621521260834,NA,NA,NA,NA,2.19737948415964e-05,NA,NA,-1.4571612156863,NA,NA,NA,NA,NA,4,-14782.3398328914,29572.6836677839,6851.08409547559,0
"99",5.10129541528621,NA,4.46322773240418e-09,NA,NA,NA,1.78686393100321e-05,0.000157893211024159,NA,NA,NA,NA,NA,NA,5,-14782.5280999799,29575.0622035619,6853.46263125369,0
"161",5.25684597243709,NA,NA,NA,NA,NA,2.19268354560105e-05,NA,-1.45533940456208,NA,NA,NA,NA,NA,4,-14786.1803090568,29580.3646201147,6858.7650478064,0
"58",5.62106084772463,0.00266179670911781,NA,NA,-7.89029701538487,7.97296547377759e-05,-6.22908661689202e-05,NA,NA,NA,NA,NA,NA,NA,6,-14786.882203205,29585.7728122941,6864.17323998587,0
