"","(Intercept)","age","brlen.median","brlen.ratio","brlen.var","frac","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","df","logLik","AICc","delta","weight"
"4114",5.38559389874724,0.000488764011689277,NA,NA,NA,2.12098683046702,NA,NA,NA,NA,NA,NA,NA,19.8936816568352,NA,5,-39657.8157440878,79325.634489076,6914.58593352325,0
"585",7.00575209482276,NA,NA,NA,-2.82531468887055e-05,NA,NA,0.00325876462453868,NA,NA,-0.50202646714605,NA,NA,NA,NA,5,-39662.3811542871,79334.7653094744,6923.71675392173,0
"841",7.00504848344153,NA,NA,NA,-2.82080247059255e-05,NA,NA,0.00324699986838433,NA,2.13691816246755e-05,-0.502340468994782,NA,NA,NA,NA,6,-39662.3546288468,79336.7134591641,6925.66490361141,0
"539",5.81009940182896,NA,0.0169175828141912,NA,6.61493061640329e-06,2.49969743575917,NA,NA,NA,NA,-0.509448524268389,NA,NA,NA,NA,6,-39686.267568102,79384.5393376744,6973.49078212173,0
"4629",5.7760752981216,NA,NA,3.63316904463455e-07,NA,2.11490678946349,NA,NA,NA,NA,-0.354186748057283,NA,NA,18.5512892211336,NA,6,-39692.6257655656,79397.2557326017,6986.20717704901,0
"91",5.91966501927788,NA,-0.0117958872696563,NA,-2.89767073176875e-05,1.93557115007729,NA,0.00343894722548851,NA,NA,NA,NA,NA,NA,NA,6,-39709.0718412143,79430.147883899,7019.09932834635,0
"155",5.93564108401483,NA,-0.0085807168060941,NA,-2.72946475965307e-05,1.92974626925353,NA,NA,0.00337286037414123,NA,NA,NA,NA,NA,NA,6,-39719.7044997857,79451.413201042,7040.36464548927,0
"535",5.71882120608324,NA,0.0206044252343446,3.71287370949588e-07,NA,2.58879740900135,NA,NA,NA,NA,-0.519074459161097,NA,NA,NA,NA,6,-39726.9613403012,79465.9268820729,7054.87832652018,0
"4625",5.77535310154508,NA,NA,NA,NA,2.11838571251116,NA,NA,NA,NA,-0.354914020502103,NA,NA,18.6322184393801,NA,5,-39736.9887250121,79483.9804509245,7072.93189537185,0
"409",5.60808939912341,NA,NA,NA,-2.57036745845872e-05,2.23255610341919,NA,NA,0.00270184426341888,0.0007914803920346,NA,NA,NA,NA,NA,6,-39739.7178570638,79491.4399155981,7080.39136004537,0
